time,stat_count,prcp_mean,prcp_std,prcp_min,prcp_25%,prcp_50%,prcp_75%,prcp_max,tmin_mean,tmin_std,tmin_min,tmin_25%,tmin_50%,tmin_75%,tmin_max,tmax_mean,tmax_std,tmax_min,tmax_25%,tmax_50%,tmax_75%,tmax_max,srad_mean,srad_std,srad_min,srad_25%,srad_50%,srad_75%,srad_max,swe_mean,swe_std,swe_min,swe_25%,swe_50%,swe_75%,swe_max,vp_mean,vp_std,vp_min,vp_25%,vp_50%,vp_75%,vp_max,id,year,state,stage,commodity,plan,colc,month,quantity,cpi_indemnity,per_indemnity
1.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.3656767283349565,0.3710645408069285,1.74,2.07,2.3,2.605,3.34,22.540671859785785,0.22739013459398466,21.82,22.42,22.55,22.7,22.95,276.55923076923074,2.7279917661758617,263.96,274.89,276.99,278.665,281.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,724.3366601752678,19.275709422158407,692.41,709.2,720.79,736.49,776.15,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
2.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.323680623174296,0.18391796004654185,8.75,9.21,9.35,9.46,10.11,24.534040895813046,0.17308610991298753,23.97,24.43,24.57,24.67,25.15,239.26777020447906,1.5117101690640662,229.81,238.37,239.29,240.245,242.92,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1172.883495618306,14.493044764323091,1127.99,1163.8,1175.22,1183.32,1236.71,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
3.0,1027.0,0.2068159688412853,0.823636144931689,0.0,0.0,0.0,0.0,4.07,9.38055501460565,0.7096856946746241,7.41,8.96,9.53,9.93,10.52,22.9700876338851,0.22186848771531742,22.35,22.85,23.02,23.13,23.36,220.73252190847126,15.14785510226056,162.74,219.35000000000002,223.12,227.985,236.63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1178.500516066212,55.58771063036531,1030.06,1144.395,1189.6,1221.875,1270.89,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
4.0,1027.0,4.971071080817917,1.3645784295027628,2.11,4.01,4.49,5.68,8.61,10.48667964946446,0.35410042738624514,9.6,10.25,10.53,10.78,11.06,18.21639727361246,0.26876381130904253,17.68,17.97,18.29,18.44,18.84,112.26479065238559,4.021657067092203,104.37,109.45,111.23,115.275,126.79,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1268.2297663096397,29.81002510283238,1194.93,1247.775,1271.66,1293.335,1317.18,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
5.0,1027.0,19.451333982473223,3.4943724561115697,11.75,16.64,20.11,22.355,25.76,8.594576436222004,1.3016611409568,6.28,7.3,8.76,9.86,10.59,11.465034079844207,0.5129806962682567,10.15,11.06,11.59,11.895,12.54,47.790185004868555,11.152800444866333,30.82,37.385000000000005,46.77,59.025,68.74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1120.2588510223952,97.9772139363299,952.85,1022.165,1128.84,1215.565,1276.6,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
6.0,1027.0,4.5990165530671865,0.35383351268144275,3.79,4.36,4.66,4.835,5.44,-0.6765141187925998,0.1810681985862142,-1.15,-0.82,-0.63,-0.54,0.16,2.995900681596884,0.14463451912438446,2.58,2.9,3.0,3.09,3.62,62.85402142161636,2.7676828422581496,55.59,61.02,63.61,65.18,67.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,581.3484323271666,7.699052483159674,561.66,575.0550000000001,583.15,586.9300000000001,617.68,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
7.0,1027.0,1.474537487828627,1.6199388887309618,0.0,0.0,0.0,3.2,4.38,-2.0837293086660176,0.45637632887275076,-2.97,-2.55,-2.03,-1.67,-1.15,0.1976728334956183,0.19168926404306202,-0.2,0.05,0.18,0.33,1.11,51.37899707887049,5.69301189799843,40.7,47.93,50.44,53.94,67.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524.3976436222007,17.692299502708337,490.85,506.46000000000004,526.08,540.39,561.44,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
8.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.0424148003894835,0.46594159554926634,-6.05,-5.42,-4.98,-4.65,-3.87,-2.213709834469328,0.3088682187286611,-2.96,-2.42,-2.23,-1.96,-1.28,70.55847127555987,3.8169529374883053,63.64,66.975,70.38,73.95,78.41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,420.13273612463485,14.81379832028123,388.88,407.9,422.05,432.64,458.9,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
9.0,1027.0,0.7988315481986368,0.5063916977186351,0.0,0.52,0.82,1.17,1.97,-6.526932814021421,0.1484344499433597,-6.94,-6.62,-6.53,-6.44,-5.57,-0.5337195715676728,0.16156879305572855,-0.93,-0.66,-0.51,-0.41,0.07,151.87055501460566,8.268848536791994,125.48,150.32,154.69,157.07,162.31,0.798315481986368,0.5069357028330707,0.0,0.515,0.82,1.17,1.97,374.9159396299903,4.299117250186929,363.07,372.31,374.69,377.49,403.43,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
10.0,1027.0,7.854391431353457,0.7034053167375245,6.44,7.25,7.73,8.38,9.5,-5.972930866601752,0.20314841100123862,-6.43,-6.14,-5.97,-5.82,-4.97,1.0950048685491724,0.10776786734288993,0.71,1.04,1.09,1.17,1.71,132.55069133398248,6.652351590628252,113.4,131.815,133.62,136.69,140.48,4.200243427458617,4.0190973741461615,0.0,0.61,1.47,8.355,11.05,391.2084518013632,6.082072435084779,377.82,386.27,391.4,395.895,422.13,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
11.0,1027.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.7270107108081793,0.33273150770621274,-1.73,-0.985,-0.56,-0.47,0.21,4.088812074001948,0.1545109581530032,3.7,3.96,4.11,4.22,4.68,117.08440116845179,14.380785687336632,94.78,102.64,116.35,129.41500000000002,145.61,2.8497273612463485,3.3106630437335896,0.0,0.0,0.0,6.29,8.74,579.3074196689387,13.973437843557361,537.92,568.31,586.21,590.17,619.88,1000458,2008,27,H ,81,25,31,12,194.8,48611.56744106398,249.54603409170417
